ID,Aircraft
4899,Eurofighter EF-2000 Typhoon
4925,Europa Aircraft Europa/Classic/XS
4927,Europa Aviation Europa Aviation Europa
5005,Extra EA-300
5261,FFA AS-202 Bravo
5525,FMA IA-58 Pucara
5527,FMA IA-63 Pampa
5049,Fairchild 24 (C-61 Forwarder/Argus)
5065,Fairchild A-10 Thunderbolt II
5069,Fairchild C-119/R4Q Flying Boxcar
5071,Fairchild C-123 Provider
5073,Fairchild C-82 Packet
5075,Fairchild Canada 82
5077,Fairchild Canada F-11 Husky
5079,Fairchild Dornier 328JET
5081,Fairchild Dornier 728
5083,Fairchild Dornier SA-227 Metro
5085,Fairchild F-27 (C-27)
5087,Fairchild Hiller F-27/FH-227
5089,Fairchild Hiller FH-1100
5097,Fairchild PT-19/23/26 (M-62/Cornell)
5099,Fairchild SA-227 Merlin III/Fairchild 300
5101,Fairchild SA-227 Merlin IV/Metro/Fairchild 400/Expediter (C-26)
5105,Fairchild Swearingen SA-226/227 Merlin III
5107,Fairchild Swearingen SA-226/227 Merlin IV/Metro
5119,Fairey FD-1
5121,Fairey FD-2
5123,Fairey Firefly
5129,Fairey Gannet
5141,Fairey Swordfish
5275,Fiat CR-32
5277,Fiat CR-42 Falco
5281,Fiat G-212
5385,Fleet 1/2/7 (N2Y/Fawn)
5387,Fleet 10/16 (Finch)
5389,Fleet 21
5393,Fleet 60 Fort
5395,Fleet 80 Canuck
5401,Fletcher FU-24
5417,Flight Design CT
5421,Flight Design MC
5479,Flygfabriken LN-3 Seagull
5531,Focke-Achgelis FA-330
5545,Focke-Wulf FWP-149
5535,Focke-Wulf Fw-190
5551,Fokker 50
5553,Fokker 60
5555,Fokker 70/100
5573,Fokker Dr-1
5577,Fokker F-27 Friendship/Troopship (C-31)
5579,Fokker F-28 Fellowship
5587,Fokker F.VII
5611,Folland Fo-141/144 Gnat
5617,Ford Tri-Motor
5619,Fornaire F-1 Aircoupe
5621,Forney F-1 Aircoupe
5629,Fouga CM-170 Magister
5649,Fournier RF-6
5689,Fuji FA-200 Aero Subaru
5735,GAF N-22/24 Nomad
5841,GFly Industria GFly
5763,Gates Learjet 24
5765,Gates Learjet 25
5767,Gates Learjet 28/29
5769,Gates Learjet 35/36 (C-21)
5771,Gates Learjet 55
5815,General Atomics MQ-1 Predator/Gray Eagle
5817,General Atomics MQ-9 Reaper
5823,General Dynamics F-111 Aardvark/Raven
5825,General Dynamics F-16 Fighting Falcon (401)
5857,GippsAero GA-10
5859,GippsAero GA-8 Airvan
5861,Gippsland GA-200 Fatman
5863,Gippsland GA-8 Airvan
5869,Glasair GS-2 Sportman
5873,Glaser-Dirks DG-100
5877,Glaser-Dirks DG-200/202
5881,Glaser-Dirks DG-400
5883,Glaser-Dirks DG-500
5885,Glaser-Dirks DG-600
5887,Glaser-Dirks DG-800
5929,Globe GC-1 Swift
5933,Gloster E28/39
5935,Gloster Gamecock
5937,Gloster Gauntlet
5939,Gloster Gladiator/Sea Gladiator
5941,Gloster Javelin
5943,Gloster Meteor
5995,Granger Archaeopteryx
6033,Grob G-102 Astir
6035,Grob G-103 Twin Astir/Viking
6039,Grob G-109 (Vigilant)
6041,Grob G-115 Tutor/Heron
6043,Grob G-120
6049,Grob G-180 SPn Utility Jet
6065,Grumman A-6 Intruder/Prowler (G-128)
6069,Grumman American AA-1 Trainer/Tr2/T-Cat/Lynx
6071,Grumman American AA-5 Traveler/Cheetah/Tiger
6073,Grumman American G-1159 Gulfstream II
6075,Grumman American G-164 Ag-Cat
6077,Grumman American GA-7 Cougar
6089,Grumman F-14 Tomcat (G-303)
6095,Grumman F4F/FM Wildcat (G-18/36/52/53)
6099,Grumman F7F Tigercat (G-51)
6105,Grumman G-1159 Gulfstream II (C-11/C-20)
6107,Grumman G-159 Gulfstream I (C-4/Academe)
6109,Grumman G-164 Ag-Cat
6115,Grumman G-44 Widgeon (J4F)
6117,Grumman G-73 Mallard
6123,Grumman S-2 Tracker (G-89/G-121/S2F)
6125,Grumman TBF/TBM Avenger (G-40)
6127,Grumman U-16 Albatross (G-64/G-111/A-16/JR2F/UF)
6163,Guimbal Cabri G2
6167,Gulfstream Aerospace 690/695 Jetprop
6169,Gulfstream Aerospace G-1159/G-IV/G-V Gulfstream (C-20/C-37)
6173,Gulfstream Aerospace G100/G150
6175,Gulfstream Aerospace G200
6177,Gulfstream Aerospace G250/G280
6185,Gulfstream Aerospace G650 (G-VI)
6187,Gulfstream American 690/695 Jetprop
6189,Gulfstream American AA-5 Cheetah/Tiger
6191,Gulfstream American G-1159 Gulfstream II/III
6503,HESA Shahed 278/OH-78
6507,HESA Zafar 300
6613,HOAC DV-20 Katana
6615,HOAC HK-36 Super Dimona
6283,Handley Page HP-115
6285,Handley Page HP-137 Jetstream
6289,Handley Page HP-52 Hampden
6291,Handley Page HP-57/59/61/63/70/71 Halifax/Halton
6293,Handley Page HP-67/94/95 Hastings
6295,Handley Page HP-80 Victor
6303,Handley Page HPR-7 Herald
6321,Harbin Y11
6323,Harbin Y12
6327,Harbin Z-19
6333,Harbin Z-9 Haitun
